Timestamp,Name,CPU,Memory
2024-10-31 11:22:32,samdul-load_balancer-1,0.24%,0.74%
2024-10-31 11:22:32,samdul-blog-1,0.01%,87.54%
2024-10-31 11:22:44,samdul-load_balancer-1,0.27%,0.74%
2024-10-31 11:22:44,samdul-blog-1,0.00%,87.54%
